real_estate_id,declaration_id,declaration_year,politician_id,full_name,cadastral_area,land_register_number,status,item_text
39524,405,2024,405,Ing. IVETA GRIAČOVÁ,SVEDERNIK,1892,ok,ORNÁ PÔDA; kat. územie SVEDERNÍK; číslo LV: 1892; podiel: 1/180
39525,405,2024,405,Ing. IVETA GRIAČOVÁ,SVEDERNIK,1945,ok,ORNÁ PÔDA; kat. územie SVEDERNÍK; číslo LV: 1945; podiel: 1/144
39526,405,2024,405,Ing. IVETA GRIAČOVÁ,SVEDERNIK,1983,ok,ORNÁ PÔDA; kat. územie SVEDERNÍK; číslo LV: 1983; podiel: 4536/653184
39527,405,2024,405,Ing. IVETA GRIAČOVÁ,SVEDERNIK,2044,ok,ORNÁ PÔDA; kat. územie SVEDERNÍK; číslo LV: 2044; podiel: 4536/653184
39528,405,2024,405,Ing. IVETA GRIAČOVÁ,SVEDERNIK,2311,ok,ORNÁ PÔDA; kat. územie SVEDERNÍK; číslo LV: 2311; podiel: 4536/653184
39529,405,2024,405,Ing. IVETA GRIAČOVÁ,SVEDERNIK,1816,ok,LESNÝ POZEMOK; kat. územie SVEDERNÍK; číslo LV: 1816; podiel: 4536/653184
39530,405,2024,405,Ing. IVETA GRIAČOVÁ,SVEDERNIK,1253,ok,ORNÁ PÔDA; kat. územie SVEDERNÍK; číslo LV: 1253; podiel: 1/720
39531,405,2024,405,Ing. IVETA GRIAČOVÁ,SVEDERNIK,1299,ok,ORNÁ PÔDA; kat. územie SVEDERNÍK; číslo LV: 1299; podiel: 1/144
39532,405,2024,405,Ing. IVETA GRIAČOVÁ,SVEDERNIK,1302,ok,ORNÁ PÔDA; kat. územie SVEDERNÍK; číslo LV: 1302; podiel: 9/1650
39534,405,2024,405,Ing. IVETA GRIAČOVÁ,SVEDERNIK,1341,ok,ORNÁ PÔDA; kat. územie SVEDERNÍK; číslo LV: 1341; podiel: 1/144
39535,405,2024,405,Ing. IVETA GRIAČOVÁ,SVEDERNIK,1580,ok,ORNÁ PÔDA; kat. územie SVEDERNÍK; číslo LV: 1580; podiel: 1/720
39536,405,2024,405,Ing. IVETA GRIAČOVÁ,SVEDERNIK,1538,ok,TRÁVNY PORAST; kat. územie SVEDERNÍK; číslo LV: 1538; podiel: 1/1
39537,405,2024,405,Ing. IVETA GRIAČOVÁ,SVEDERNIK,2146,ok,LESNÝ POZEMOK; kat. územie SVEDERNÍK; číslo LV: 2146; podiel: 11/5184
39538,405,2024,405,Ing. IVETA GRIAČOVÁ,SVEDERNIK,2147,ok,LESNÝ POZEMOK; kat. územie SVEDERNÍK; číslo LV: 2147; podiel: 11/5184
39539,405,2024,405,Ing. IVETA GRIAČOVÁ,SVEDERNIK,2396,ok,OSTATNÁ PLOCHA; kat. územie SVEDERNÍK; číslo LV: 2396; podiel: 1/180
39540,405,2024,405,Ing. IVETA GRIAČOVÁ,SVEDERNIK,1311,ok,ZASTAVANÁ PLOCHA; kat. územie SVEDERNÍK; číslo LV: 1311; podiel: 1/1530
39541,405,2024,405,Ing. IVETA GRIAČOVÁ,SVEDERNIK,1226,ok,LESNÝ POZEMOK; kat. územie SVEDERNÍK; číslo LV: 1226; podiel: 11/5184
39542,405,2024,405,Ing. IVETA GRIAČOVÁ,SVEDERNIK,778,ok,ZÁHRADA; kat. územie SVEDERNÍK; číslo LV: 778; podiel: 1/2
39543,405,2024,405,Ing. IVETA GRIAČOVÁ,SVEDERNIK,926,ok,ZÁHRADA; kat. územie SVEDERNÍK; číslo LV: 926; podiel: 1/180
39544,405,2024,405,Ing. IVETA GRIAČOVÁ,SVEDERNIK,955,ok,ZÁHRADA; kat. územie SVEDERNÍK; číslo LV: 955; podiel: 1/180
39545,405,2024,405,Ing. IVETA GRIAČOVÁ,SVEDERNIK,933,ok,ZÁHRADA; kat. územie SVEDERNÍK; číslo LV: 933; podiel: 1/144
